method,estimate,flow,cq,runid
pw,0.8887603646784379,storm,enrich,12
beale,NA,storm,enrich,12
rating,29.426224966513317,storm,enrich,12
composite,29.79957802312,storm,enrich,12
truth,80.31647929743069,storm,enrich,12
pw,3.412755099058515,unaltered,enrich,12
beale,NA,unaltered,enrich,12
rating,11.857442513788639,unaltered,enrich,12
composite,11.898864075198178,unaltered,enrich,12
truth,14.572389447964458,unaltered,enrich,12
pw,14.668751638921682,base,none,12
beale,NA,base,none,12
rating,16.84185664999315,base,none,12
composite,17.39111062994505,base,none,12
truth,16.389153507518337,base,none,12
pw,6.005292926963454,storm,none,12
beale,NA,storm,none,12
rating,12.52468143567604,storm,none,12
composite,12.950105285598053,storm,none,12
truth,13.87747827243201,storm,none,12
pw,11.29769563614891,unaltered,none,12
beale,NA,unaltered,none,12
rating,13.672266428096492,unaltered,none,12
composite,14.148440892486859,unaltered,none,12
truth,13.595996233815528,unaltered,none,12
pw,13.219730677364163,base,chemostatic,12
beale,NA,base,chemostatic,12
rating,16.286022663467172,base,chemostatic,12
composite,16.334528413027545,base,chemostatic,12
truth,16.39354023124554,base,chemostatic,12
pw,5.412073030297263,storm,chemostatic,12
beale,NA,storm,chemostatic,12
rating,13.865467136863398,storm,chemostatic,12
composite,13.914404843453289,storm,chemostatic,12
truth,13.863780861824157,storm,chemostatic,12
pw,10.181677163885778,unaltered,chemostatic,12
beale,NA,unaltered,chemostatic,12
rating,13.530956597138601,unaltered,chemostatic,12
